user_id,age,income_tier,primary_use,human_choice
1,56,Low,Browsing,Option A
2,46,Medium,Streaming,Option C
3,32,Medium,Gaming,Option C
4,60,Low,Gaming,Option A
5,25,Low,Streaming,Option A
6,38,Medium,Browsing,Option A
7,56,Medium,Gaming,Option A
8,36,Low,Gaming,Option A
9,40,Low,Gaming,Option A
10,28,High,Streaming,Option C
11,28,Low,Gaming,Option A
12,41,Low,Browsing,Option A
13,53,Medium,Gaming,Option C
14,57,High,Gaming,Option C
15,41,Low,Browsing,Option C
16,20,Medium,Gaming,Option A
17,39,Medium,Streaming,Option B
18,19,Low,Streaming,Option A
19,41,Medium,Streaming,Option B
20,61,Medium,Browsing,Option A
21,47,Medium,Gaming,Option B
22,55,Medium,Streaming,Option B
23,19,Medium,Browsing,Option A
24,38,Low,Gaming,Option A
25,50,High,Browsing,Option B
26,29,Medium,Streaming,Option B
27,39,Low,Streaming,Option A
28,61,Low,Streaming,Option A
29,42,Medium,Browsing,Option A
30,44,Medium,Browsing,Option B
31,59,Low,Streaming,Option A
32,45,Medium,Browsing,Option A
33,33,Low,Streaming,Option A
34,32,Medium,Streaming,Option A
35,64,Low,Gaming,Option C
36,61,Medium,Browsing,Option B
37,20,Medium,Streaming,Option C
38,54,High,Streaming,Option C
39,24,Low,Browsing,Option A
40,38,Medium,Gaming,Option C
41,26,Low,Gaming,Option A
42,56,High,Streaming,Option B
43,35,High,Browsing,Option C
44,21,Low,Gaming,Option B
45,42,Medium,Browsing,Option B
46,31,High,Browsing,Option C
47,26,Medium,Streaming,Option B
48,43,Medium,Gaming,Option C
49,19,Low,Streaming,Option A
50,37,Low,Gaming,Option B
51,45,High,Gaming,Option C
52,64,High,Gaming,Option A
53,24,Medium,Gaming,Option A
54,61,Medium,Gaming,Option A
55,25,Medium,Browsing,Option A
56,64,Medium,Streaming,Option A
57,52,High,Browsing,Option C
58,31,High,Gaming,Option C
59,34,Medium,Streaming,Option C
60,53,Medium,Gaming,Option C
61,57,Low,Streaming,Option A
62,21,Low,Browsing,Option B
63,19,High,Streaming,Option C
64,23,Medium,Streaming,Option B
65,59,Low,Streaming,Option A
66,21,Low,Streaming,Option A
67,46,Medium,Streaming,Option B
68,35,Low,Gaming,Option A
69,43,Low,Streaming,Option A
70,61,Medium,Streaming,Option C
71,51,Medium,Browsing,Option C
72,27,Medium,Streaming,Option A
73,53,Low,Browsing,Option A
74,31,Medium,Gaming,Option A
75,48,Low,Streaming,Option A
76,32,Medium,Browsing,Option B
