age,income_tier,primary_use,data_source,final_choice
21,High,Gaming,Synthetic Twin (Phi-3 Engine),Option A
48,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
29,Low,Voice,Real Human (20% Calibration Base),Option A
30,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
22,Low,Voice,Real Human (20% Calibration Base),Option B
71,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
31,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
21,Low,Browsing,Synthetic Twin (Phi-3 Engine),Option A
42,Low,Voice,Synthetic Twin (Phi-3 Engine),Option A
50,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
20,Medium,Gaming,Real Human (20% Calibration Base),Option A
62,Medium,Streaming,Synthetic Twin (Phi-3 Engine),Option B
68,High,Streaming,Synthetic Twin (Phi-3 Engine),Option C
60,Low,Streaming,Real Human (20% Calibration Base),Option A
42,High,Gaming,Synthetic Twin (Phi-3 Engine),Option A
35,High,Streaming,Synthetic Twin (Phi-3 Engine),Option B
21,Low,Voice,Synthetic Twin (Phi-3 Engine),Option A
19,High,Streaming,Synthetic Twin (Phi-3 Engine),Option A
50,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
52,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
71,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
62,High,Streaming,Synthetic Twin (Phi-3 Engine),Option B
26,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option C
43,Medium,Streaming,Synthetic Twin (Phi-3 Engine),Option A
21,Low,Voice,Synthetic Twin (Phi-3 Engine),Option A
29,Low,Browsing,Real Human (20% Calibration Base),Option A
38,Low,Browsing,Synthetic Twin (Phi-3 Engine),Option A
50,Low,Voice,Synthetic Twin (Phi-3 Engine),Option B
74,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
22,Low,Voice,Synthetic Twin (Phi-3 Engine),Option B
25,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
51,High,Streaming,Real Human (20% Calibration Base),Option A
64,High,Gaming,Synthetic Twin (Phi-3 Engine),Option C
31,High,Streaming,Synthetic Twin (Phi-3 Engine),Option B
63,High,Streaming,Real Human (20% Calibration Base),Option A
33,Medium,Browsing,Real Human (20% Calibration Base),Option B
20,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option A
74,High,Gaming,Synthetic Twin (Phi-3 Engine),Option C
28,Low,Voice,Synthetic Twin (Phi-3 Engine),Option A
18,Medium,Streaming,Synthetic Twin (Phi-3 Engine),Option A
37,High,Streaming,Real Human (20% Calibration Base),Option A
36,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option A
20,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option A
72,High,Streaming,Synthetic Twin (Phi-3 Engine),Option A
37,High,Streaming,Synthetic Twin (Phi-3 Engine),Option A
40,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option B
73,Medium,Streaming,Synthetic Twin (Phi-3 Engine),Option B
45,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option C
73,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
34,High,Gaming,Synthetic Twin (Phi-3 Engine),Option A
51,Low,Voice,Synthetic Twin (Phi-3 Engine),Option B
31,High,Streaming,Real Human (20% Calibration Base),Option A
31,High,Gaming,Synthetic Twin (Phi-3 Engine),Option A
30,Low,Browsing,Synthetic Twin (Phi-3 Engine),Option A
54,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
33,Medium,Streaming,Synthetic Twin (Phi-3 Engine),Option A
39,Low,Voice,Synthetic Twin (Phi-3 Engine),Option A
22,High,Gaming,Synthetic Twin (Phi-3 Engine),Option A
20,High,Streaming,Synthetic Twin (Phi-3 Engine),Option B
45,Low,Voice,Synthetic Twin (Phi-3 Engine),Option B
48,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
18,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
23,Medium,Streaming,Synthetic Twin (Phi-3 Engine),Option B
22,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option A
63,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
27,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option C
35,Medium,Gaming,Real Human (20% Calibration Base),Option A
45,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option C
73,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option A
34,Medium,Browsing,Real Human (20% Calibration Base),Option C
65,High,Streaming,Synthetic Twin (Phi-3 Engine),Option C
71,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option A
21,High,Gaming,Synthetic Twin (Phi-3 Engine),Option A
44,Medium,Streaming,Real Human (20% Calibration Base),Option C
73,High,Streaming,Real Human (20% Calibration Base),Option A
38,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
66,High,Streaming,Synthetic Twin (Phi-3 Engine),Option C
65,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
66,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
40,High,Streaming,Synthetic Twin (Phi-3 Engine),Option C
41,High,Streaming,Synthetic Twin (Phi-3 Engine),Option C
35,Low,Voice,Real Human (20% Calibration Base),Option C
33,Medium,Gaming,Real Human (20% Calibration Base),Option A
19,High,Streaming,Real Human (20% Calibration Base),Option A
47,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
36,Medium,Streaming,Synthetic Twin (Phi-3 Engine),Option A
34,Medium,Browsing,Synthetic Twin (Phi-3 Engine),Option C
20,Low,Voice,Synthetic Twin (Phi-3 Engine),Option C
27,Low,Voice,Synthetic Twin (Phi-3 Engine),Option B
35,Medium,Streaming,Real Human (20% Calibration Base),Option A
24,Medium,Gaming,Synthetic Twin (Phi-3 Engine),Option A
